lr,batch,layers,units,dropout,activation,optimizer,test_acc,best_epoch
0.001,64,3,64,0.2,relu,sgd,0.8103448275862069,10
0.001,64,3,128,0.2,relu,sgd,0.8017241379310345,10
0.001,64,2,64,0.2,elu,sgd,0.8017241379310345,10
0.001,64,3,64,0.2,elu,adam,0.8017241379310345,10
0.001,32,2,64,0.2,elu,sgd,0.7931034482758621,10
0.001,32,3,128,0.4,elu,adam,0.7931034482758621,9
0.001,64,2,128,0.4,elu,sgd,0.7931034482758621,10
0.001,64,3,128,0.2,elu,sgd,0.7931034482758621,10
0.0005,64,2,64,0.4,elu,adam,0.7931034482758621,10
0.0005,32,3,64,0.4,elu,adam,0.7931034482758621,6
0.0005,32,3,128,0.4,relu,sgd,0.7931034482758621,10
0.0005,64,2,128,0.4,elu,sgd,0.7931034482758621,10
0.0005,32,3,128,0.4,elu,adam,0.7931034482758621,8
0.001,64,2,64,0.4,elu,adam,0.7844827586206896,7
0.001,32,3,64,0.2,elu,sgd,0.7844827586206896,10
0.001,64,2,128,0.2,elu,sgd,0.7844827586206896,10
0.0005,32,2,64,0.2,relu,adam,0.7844827586206896,10
0.0005,32,2,128,0.4,relu,adam,0.7844827586206896,10
0.0005,32,2,64,0.4,elu,sgd,0.7844827586206896,10
0.001,32,2,64,0.4,relu,sgd,0.7844827586206896,10
0.001,32,3,64,0.4,elu,sgd,0.7844827586206896,10
0.0005,64,3,64,0.4,elu,sgd,0.7844827586206896,10
0.0005,64,2,128,0.4,elu,adam,0.7844827586206896,10
0.0005,64,2,64,0.2,elu,adam,0.7844827586206896,10
0.001,64,3,64,0.2,elu,sgd,0.7844827586206896,10
0.001,32,3,128,0.2,elu,sgd,0.7844827586206896,10
0.001,64,3,128,0.4,elu,sgd,0.7844827586206896,10
0.001,32,2,128,0.4,relu,sgd,0.7758620689655172,10
0.001,32,2,64,0.2,elu,adam,0.7758620689655172,9
0.001,32,2,128,0.4,elu,sgd,0.7758620689655172,10
0.001,32,3,128,0.4,relu,sgd,0.7758620689655172,10
0.001,32,3,64,0.4,elu,adam,0.7758620689655172,9
0.0005,32,2,128,0.2,relu,adam,0.7758620689655172,10
0.0005,32,2,128,0.4,elu,adam,0.7758620689655172,8
0.0005,64,2,128,0.2,relu,adam,0.7758620689655172,10
0.0005,32,3,64,0.2,relu,adam,0.7758620689655172,10
0.0005,64,2,64,0.2,elu,sgd,0.7758620689655172,10
0.001,64,2,64,0.2,relu,adam,0.7758620689655172,10
0.001,32,2,128,0.2,elu,sgd,0.7758620689655172,9
0.001,64,3,64,0.4,elu,adam,0.7672413793103449,8
0.0005,64,3,128,0.4,elu,adam,0.7672413793103449,10
0.0005,64,3,128,0.4,elu,sgd,0.7672413793103449,10
0.0005,64,2,128,0.2,elu,sgd,0.7672413793103449,10
0.0005,32,2,128,0.2,elu,sgd,0.7672413793103449,10
0.0005,32,3,128,0.2,elu,sgd,0.7672413793103449,10
0.0005,32,2,64,0.2,elu,sgd,0.7672413793103449,9
0.0005,32,2,128,0.2,relu,sgd,0.7672413793103449,10
0.0005,64,2,128,0.2,elu,adam,0.7672413793103449,10
0.001,32,3,64,0.4,relu,sgd,0.7672413793103449,10
0.001,64,2,64,0.4,relu,sgd,0.7672413793103449,10
0.001,64,2,128,0.4,elu,adam,0.7672413793103449,6
0.001,64,3,64,0.4,relu,adam,0.7672413793103449,10
0.001,32,3,128,0.2,relu,sgd,0.7672413793103449,10
0.001,32,3,64,0.4,relu,adam,0.7672413793103449,10
0.001,32,3,128,0.4,elu,sgd,0.7672413793103449,7
0.001,64,2,64,0.4,elu,sgd,0.7586206896551724,10
0.001,64,2,128,0.4,relu,sgd,0.7586206896551724,10
0.001,64,2,64,0.2,elu,adam,0.7586206896551724,10
0.001,32,2,64,0.4,elu,sgd,0.7586206896551724,8
0.001,32,2,128,0.2,relu,adam,0.7586206896551724,9
0.001,32,2,128,0.4,relu,adam,0.7586206896551724,10
0.001,32,3,128,0.4,relu,adam,0.7586206896551724,10
0.001,32,2,64,0.2,relu,adam,0.7586206896551724,10
0.001,32,2,64,0.2,relu,sgd,0.7586206896551724,10
0.0005,32,3,64,0.4,elu,sgd,0.7586206896551724,10
0.0005,32,3,64,0.2,elu,adam,0.7586206896551724,10
0.0005,64,3,64,0.4,elu,adam,0.7586206896551724,10
0.0005,32,2,128,0.4,elu,sgd,0.7586206896551724,10
0.0005,32,2,64,0.4,relu,sgd,0.7586206896551724,10
0.0005,32,2,64,0.2,elu,adam,0.7586206896551724,10
0.0005,32,2,64,0.4,relu,adam,0.7586206896551724,10
0.0005,32,2,128,0.4,relu,sgd,0.7586206896551724,10
0.0005,32,3,128,0.4,elu,sgd,0.7586206896551724,10
0.0005,32,3,128,0.4,relu,adam,0.7586206896551724,10
0.0005,32,3,64,0.4,relu,adam,0.7586206896551724,10
0.0005,64,3,128,0.4,relu,adam,0.75,10
0.0005,64,2,64,0.4,relu,adam,0.75,10
0.0005,32,3,64,0.2,relu,sgd,0.75,10
0.0005,32,3,64,0.4,relu,sgd,0.75,10
0.0005,32,3,128,0.2,relu,adam,0.75,10
0.0005,32,2,64,0.4,elu,adam,0.75,10
0.001,32,3,64,0.2,relu,adam,0.75,9
0.001,32,3,128,0.2,relu,adam,0.75,8
0.001,64,2,128,0.2,relu,sgd,0.75,10
0.001,64,3,128,0.2,elu,adam,0.75,10
0.001,64,3,64,0.4,elu,sgd,0.75,10
0.001,32,2,64,0.4,relu,adam,0.75,8
0.001,32,2,64,0.4,elu,adam,0.75,9
0.0005,64,3,128,0.2,elu,sgd,0.75,10
0.0005,64,3,64,0.2,elu,adam,0.75,10
0.0005,64,3,64,0.2,elu,sgd,0.75,10
0.0005,64,3,64,0.4,relu,sgd,0.75,10
0.0005,64,2,128,0.2,relu,sgd,0.75,10
0.001,32,2,128,0.2,relu,sgd,0.7413793103448276,10
0.001,64,2,64,0.2,relu,sgd,0.7413793103448276,10
0.001,32,3,64,0.2,elu,adam,0.7413793103448276,9
0.0005,64,2,64,0.2,relu,sgd,0.7413793103448276,10
0.0005,32,3,128,0.2,elu,adam,0.7413793103448276,10
0.0005,32,3,64,0.2,elu,sgd,0.7413793103448276,10
0.0005,64,3,128,0.2,elu,adam,0.7413793103448276,10
0.0005,64,3,64,0.2,relu,adam,0.7413793103448276,10
0.0005,64,2,128,0.4,relu,adam,0.7413793103448276,10
0.0005,32,2,64,0.2,relu,sgd,0.7413793103448276,10
0.0005,32,2,128,0.2,elu,adam,0.7413793103448276,9
0.001,64,3,64,0.2,relu,adam,0.7413793103448276,10
0.001,64,3,128,0.4,elu,adam,0.7413793103448276,10
0.001,32,3,64,0.2,relu,sgd,0.7327586206896551,10
0.001,64,2,128,0.2,elu,adam,0.7327586206896551,9
0.001,32,2,128,0.2,elu,adam,0.7327586206896551,8
0.001,32,2,128,0.4,elu,adam,0.7241379310344828,9
0.001,64,3,128,0.4,relu,adam,0.7241379310344828,10
0.001,32,3,128,0.2,elu,adam,0.7241379310344828,9
0.001,64,2,128,0.4,relu,adam,0.7241379310344828,9
0.001,64,2,128,0.2,relu,adam,0.7241379310344828,9
0.0005,64,3,128,0.2,relu,adam,0.7155172413793104,10
0.001,64,2,64,0.4,relu,adam,0.7155172413793104,10
0.0005,64,3,64,0.4,relu,adam,0.7155172413793104,10
0.0005,32,3,128,0.2,relu,sgd,0.7068965517241379,10
0.001,64,3,128,0.4,relu,sgd,0.7068965517241379,10
0.0005,64,3,128,0.2,relu,sgd,0.7068965517241379,10
0.0005,64,2,64,0.4,elu,sgd,0.7068965517241379,10
0.0005,64,3,64,0.2,relu,sgd,0.6982758620689655,10
0.0005,64,2,128,0.4,relu,sgd,0.6896551724137931,10
0.001,64,3,64,0.4,relu,sgd,0.6810344827586207,10
0.0005,64,2,64,0.2,relu,adam,0.6724137931034483,4
0.0005,64,2,64,0.4,relu,sgd,0.6724137931034483,10
0.001,64,3,128,0.2,relu,adam,0.6637931034482759,10
0.0005,64,3,128,0.4,relu,sgd,0.6120689655172413,1
